id,job_title,skills
68,Brand Communication Officer,"['brand communication', 'marketing communication', 'business communication', 'professional communication', 'brand', 'coordinate', 'researched', 'sustainable', 'managing events', 'adaptable', 'supervision']"
69,Bookkeeper / Auditor Staff,"['secretarial experience', 'bank reconciliation', 'petty cash', 'financial statement', 'employment contract', 'office administration', 'dynamic person', 'accounting', 'bookkeeping', 'consulting', 'xero', 'auditing', 'english', 'communication skills', 'stage', 'recruitment process', 'audit', 'electronics', 'product development', 'leadership', 'accounts', 'quotations', 'purchase', 'r', 'month end', 'closing', 'schedules', 'ad hoc', 'perform audit']"
71,MARKETING AGENCY & PEOPLE DEVELOPMENT,"['level head', 'cnc', 'task performance', 'mapping']"
75,Onsite Engineer (CCNA) - Balikpapan,"['computer science', 'electrical engineering', 'tcp ip', 'ccna', 'informatics engineering', 'engineering', 'engineering computer', 'communication', 'coordination', 'cisco']"
81,SALES MANAGER (CITRA RAYA),"['real estate', 'sales manager', 'english', 'presentation', 'operate', 'microsoft officeable']"
82,CAD Drafter,"['drawings', 'creative', 'survey', 'supervision', 'operating', 'autocad', 'sketch', 'communication skills', 'bahasa', 'english']"
85,Branch Manager,"['fast move consumer good', 'computer literacy', 'microsoft office', 'analytical thinking', 'sales', 'operational', 'manage', 'manager', 'communication', 'negotiation', 'presentation', 'leadership strategic']"
89,Internship Digital Markering,"['google sheet', 'market research', 'operating', 'managing', 'tracking', 'tools google', 'analytics facebook', 'manager', 'tag manager', 'deep dive', 'ad hoc']"
91,PIO Area Part Leader,"['stocks', 'operation', 'installation', 'logistics']"
92,DISTRIBUTION CENTER MANAGER,"['operation management', 'management process', 'inventory control', 'business process', 'activity monitor', 'project performance', 'warehouse management', 'problem solve', 'planning strategizing', 'executing', 'management', 'logistic', 'business management', 'managing warehouse', 'operations', 'leadership', 'analytical', 'communications skills', 'java']"
96,Strategic Marketing Officer,"['mass communication', 'strategic thinking', 'marketing mass', 'economic', 'marketing strategic', 'broadcast', 'marketing field', 'advertisement', 'marketing business', 'business sales', 'budgeting', 'analytical', 'communication', 'presentation']"
97,MERATUS STAR PROGRAM (Business),"['on the job training', 'business manager', 'management', 'finalization', 'english']"
98,Process Electrician Superintendent (E&I Superintendent),"['technology solution', 'oil and gas', 'plan', 'schedule', 'supervise', 'fabrication', 'coordinating', 'electrical', 'integrated', 'technology engineering', 'construction', 'infrastructure', 'wellhead', 'storage tank', 'transform oil']"
100,Sales Admin,"['create invoice', 'detail orient', 'administrative support', 'sales', 'compile', 'billing', 'collection', 'management', 'economics', 'administration skills', 'english']"
101,Account Officer (Pembiayaan Usaha Mikro),"['survey', 'sales', 'bank', 'c']"
104,IT Staff,"['computer science', 'information technology', 'network infrastructure', 'computer hardware', 'lan', 'cctv', 'php java', 'sql server', 'security network', 'troubleshooting', 'non']"
105,PROJECT MANAGER,"['project planning', 'problem solve', 'project management', 'information system', 'api', 'manage', 'budgets', 'manage scope', 'development reporting', 'collaboration', 'jira', 'trello', 'planning', 'planning execute', 'timeline', 'communication', 'negotiation', 'leadership', 'communicate', 'integration']"
106,Trade Channel Marketing Assistant Manager,"['analytical thinking', 'business development', 'operate budget', 'market research', 'market trend', 'return on investment', 'spend analysis', 'english', 'bahasa', 'manager', 'marketing business', 'paint', 'managing', 'operating', 'marketing plans', 'sales', 'accrue', 'track', 'plans', 'processes tools', 'supervise', 'integration', 'merchandising', 'planograms', 'trade promotions', 'program monitor', 'coordinate', 'promote products', 'manage']"
107,Relationship Manager SME Banking,"['account management', 'market environment', 'customer service', 'banking', 'account plan account', 'stipulated', 'management', 'activities supports', 'relationship manager', 'english']"
108,Back End Engineer,"['back end', 'version control', 'bahasa', 'php', 'database sql', 'energetic']"
109,Senior Accountant,"['month end closing', 'general ledger', 'bank statement', 'financial statement', 'analytical skill', 'accounting software', 'quantitative analysis', 'problem solve', 'external auditor', 'accountant', 'accounting', 'operations', 'managing', 'financial transactions', 'accounts', 'accountants', 'forecasts', 'accounting principles', 'economics', 'accounting standards', 'month end', 'end closing', 'communication skills', 'eye', 'analytical', 'financial reporting', 'closing', 'reconciliation', 'bookkeeping', 'sap system', 'processing transactions', 'vouchers', 'forecasting', 'coordinate', 'government', 'finance', 'filing', 'audits', 'ad hoc']"
111,Pricing Sales Marketing,"['customer service', 'write communication', 'microsoft office', 'sales', 'freight forwarder', 'negotiation', 'skill communication', 'presentation', 'analytical', 'floor', 'recruitment process']"
112,Digital Marketing (Karawaci),"['digital marketing', 'marketing communication', 'planning', 'communication', 'negotiation', 'creative', 'recruitment process']"
115,Admin Online Shop,"['social medium', 'minimal', 'm', 'caption', 'blog', 'marketplace']"
116,Senior Accounting,"['microsoft office', 'accounting software', 'problem solve', 'manager', 'accounting', 'bahasa']"
120,"MANAGER TEKNIK PERAWATAN MESIN PRODUKSI - Lokasi Kerja : Majalaya, Bandung","['problem solve', 'sbb', 'leadership', 'baking']"
121,Warehouse Supervisor,"['warehouse management', 'warehouse management system', 'management system', 'standard operating procedure', 'product quality', 'leadership communication', 'communication skill', 'wms', 'storage', 'managing stock', 'supervising', 'operations', 'management', 'dispatching', 'operational']"
122,Education Content Creator,"['social medium', 'digital medium', 'medium strategy', 'visual', 'photography', 'execute', 'early childhood', 'creative', 'build relationship']"
123,Finance & Accounting Manager - Port Management - Subang (A-73378),"['port management', 'balance sheet', 'cash flow', 'business english', 'problem solve', 'analytical thinking', 'project management', 'japanese', 'accounting', 'accounting manager', 'finance', 'manage', 'operation', 'manage financial', 'accounting tax', 'tax manager', 'public accountant', 'financial audit', 'communication', 'presentation', 'leadership', 'english']"
124,IT SECURITY COORDINATOR,"['access control', 'identity and access management', 'management system', 'system monitor', 'security policy', 'vulnerability management', 'operating system', 'security software', 'risk mitigation', 'cyber security', 'analytical skill', 'risk management', 'active directory', 'network appliance', 'programming concept', 'penetration test', 'network servers', 'suspicious activity', 'security standards', 'best practices', 'plans', 'risk cyber', 'bahasa', 'english', 'firewall']"
125,Payroll Staff,"['human resource management', 'resource management', 'microsoft office', 'execute', 'payroll process', 'calculation', 'finance', 'accountancy', 'banking', 'communication', 'non', 'human resources']"
127,Business Development Officer (Palembang),"['public speak', 'sales', 'strategi marketing', 'closing', 'sales process', 'sales cycle']"
130,Senior Infosec Engineer,"['technical analysis', 'business process', 'security control', 'network infrastructure', 'incident response', 'system architecture', 'planning', 'information security', 'management', 'applications tools', 'infrastructure', 'product development', 'technical solutions', 'operating', 'applications cloud', 'platforms cloud', 'plan', 'mitigation', 'vulnerabilities', 'analytical', 'communicate', 'leadership', 'english', 'planning executing', 'managing projects', 'automated', 'troubleshooting', 'securing software', 'software code', 'linux', 'managing', 'backend', 'web application', 'sql databases', 'security engineer', 'devops', 'engineer']"
131,Junior Accountant,"['business process', 'cost accounting', 'erp', 'consulting', 'outsourcing', 'world wide', 'accountant', 'manage', 'budgets', 'procurement', 'communicate', 'bookkeeping', 'finance', 'english']"
132,"Software Engineer, Core Banking","['pl sql', 'object orient programming', 'programming concept', 'front end', 'continuous integration', 'script language', 'programming language', 'syntax', 'model objects', 'scripts', 'sql', 'object oriented languages', 'collaborating', 'banking', 'collaboration', 'angular', 'object oriented', 'work environment', 'effectively manage', 'innovate', 'entrepreneurship', 'git']"
133,WFH Data E-Commerce Specialist,"['e commerce', 'raw datum', 'microsoft office', 'track', 'product data', 'netsuite', 'data', 'data processing', 'english', 'internet connection', 'collaborative', 'work environments']"
134,Project Admin,"['project management', 'analytical skill', 'google sheet', 'timeline', 'project initiation', 'track', 'budget', 'communication', 'negotiation', 'sql', 'google analytics', 'filing', 'file', 'collaborating', 'english']"
135,Account Executive,"['interior design', 'business study', 'problem solve', 'detail orient', 'quality of service', 'management marketing', 'economic', 'communication', 'communication interpersonal', 'negotiation', 'presentation', 'analytical', 'english', 'services provided', 'communicate', 'inquiry', 'sales']"
136,Medical Representative (Natural product),"['plan', 'sales', 'compile', 'pharmaceutical', 'license', 'c']"
138,Management Trainee,"['cash flow', 'management', 'target oriented', 'acting', 'survey', 'accounting', 'sales']"
140,Head of Sales & Operations,"['business process', 'marketing planning', 'marketing business', 'negotiation', 'communication skills', 'leadership', 'creative', 'innovative', 'target oriented', 'new business', 'licensing', 'legal documents', 'licenses']"
142,Team Leader area Jawa Tengah,"['constructive feedback', 'sales', 'agricultural', 'agricultural products', 'communication skills', 'collaboratively', 'motorcycle']"
145,Product Manager Loyalty,"['loyalty program', 'product management', 'customer retention', 'product strategy', 'problem solve', 'business case', 'customers', 'shortest path', 'product teams', 'accrual', 'engineers researchers', 'operations', 'targets', 'backlog', 'technical software', 'cross functional teams', 'long term', 'software developers', 'innovative', 'research', 'analytical', 'data analysis', 'lean testing', 'testing methods', 'improves product']"
147,Account Manager,"['marketing operation', 'marketing strategy', 'microsoft office', 'case', 'account manager', 'coordinating', 'sales', 'presentation', 'communications', 'accounts', 'co operation', 'communication', 'advertising', 'research', 'budgets', 'communicate', 'english written', 'professional', 'resourceful']"
148,R&D Formulator Staff,"['production process', 'documents prepare', 'registration', 'scale', 'r', 'agile', 'tablets']"
149,Graphic designer,"['adobe photoshop', 'social medium', 'visual', 'program design', 'indesign', 'flyer', 'brand', 'editing']"
151,Frontend - ReactJs Developer,"['management system', 'front end', 'software engineering', 'write communication', 'api', 'develop management', 'project manager', 'required system']"
152,Business Development,"['microsoft office', 'microsoft word', 'interpersonal communication', 'market research', 'negotiation', 'presentation', 'thinking high', 'depth market', 'planning develop', 'execute']"
153,SPG/SPB Outdoor Sales Executive,"['credit card', 'sale', 'sales', 'sales effective', 'communication', 'negotiation', 'source', 'manage', 'disseminate', 'brochure', 'flyers']"
154,Senior Software Engineer - Android Mobile,"['cloud service', 'mobile device', 'crash report', 'software development', 'android development', 'source code', 'text file', 'technical communication', 'node js', 'api', 'android', 'bugs reported', 'long term', 'build modular', 'subsystems', 'libraries', 'maintainability', 'testability', 'developing software', 'code reviewing', 'data storage', 'investigate', 'best practices', 'engineers products', 'products data', 'operations', 'developing testing', 'debugging', 'troubleshooting', 'programming languages', 'kotlin', 'java', 'unit tests', 'coroutines', 'backend', 'layer', 'database structures', 'sql', 'development tools', 'firebase', 'development process', 'jira', 'engineering computer', 'english', 'nice', 'python', 'communications']"
155,Mortgage Sales Specialist - Jabodetabek,"['targeted', 'loan mortgage', 'excellent service', 'banking']"
156,IT Project Management,"['information technology', 'information system', 'problem solve', 'manage', 'projects coordinate', 'plan', 'coordinate', 'budget', 'costs', 'costs job', 'management', 'life insurance', 'communication']"
158,Scrum Master,"['product planning', 'agile methodology', 'application development', 'technical information', 'information system', 'computer science', 'leading training', 'scrum', 'adoption', 'planning', 'advising', 'management', 'positive', 'collaboration', 'backlog', 'collecting data', 'drawing', 'jira', 'confluence', 'trello', 'scrum master']"
163,Digital and Social Media Executive (Travel & Lifestyle PR),"['social medium', 'social medium campaign', 'marketing channel', 'database development', 'content design', 'digital marketing', 'social medium trend', 'google analytic', 'web analytic', 'analytical skill', 'write english', 'content marketing', 'marketing communication', 'content management', 'problem solve', 'customer relationship building', 'relationship building', 'hospitality', 'energetic', 'manage', 'creative', 'social', 'brand', 'collaboration', 'managing marketing', 'research', 'management', 'creativity', 'integrated', 'communicate', 'planning', 'managing', 'pinterest', 'editing', 'coordination', 'reading', 'track', 'collaborate', 'english']"
164,Senior Application Integration,"['information technology', 'cloud application', 'business operation', 'software engineering', 'problem solve', 'big datum', 'extract transform load', 'data retention', 'software development', 'computer science', 'web application', 'web application development', 'application development', 'technical documentation', 'sequence diagram', 'component diagram', 'time management', 'distribute computing', 'node js', 'web service', 'low latency', 'continuous integration', 'etl', 'api', 'application integration', 'devops', 'software developer', 'leadership', 'use cases', 'verbal communication', 'planning', 'governance', 'r', 'prototype', 'creatively', 'integrate', 'high performance', 'developed software', 'web app', 'bahasa', 'english business', 'writing technical', 'flow charts', 'swim', 'developing application', 'application cloud', 'web technology', 'backend', 'java', 'javascript', 'node', 'angular', 'react', 'prioritized', 'visual studio', 'nosql', 'mariadb', 'hbase', 'cassandra', 'mongodb', 'git', 'automated']"
165,Depo & Ranger Officer,"['feasibility study', 'functional specification', 'problem solve', 'microsoft office', 'operational', 'project']"
167,IT STAFF,"['software maintenance', 'html', 'css', 'android', 'php', 'mysql', 'javascript', 'laravel', 'codeigniter', 'troubleshooting']"
169,Learning & Development Staff (Trainer),"['team performance', 'english', 'bahasa', 'collaborative']"
172,Sales Marketing & Accounting,"['balance sheet', 'income statement', 'sales', 'business plans', 'english', 'writing', 'communication', 'negotiation', 'innovative', 'accounting', 'finance']"
174,"Senior Financial Advisor (Bancassurance) - JAKARTA PUSAT, PONDOK KELAPA, CIKINI, THAMRIN","['management development', 'sales', 'bank', 'tablet']"
177,.NET Developer,"['development testing', 'problem solve', 'application dependency', 'computer science', 'asp net', 'css', 'html', 'xml', 'c', 'analytical']"
181,Finance & Accounting Tax,"['research and development', 'corporate tax', 'accounting management', 'performance improvement', 'accounting', 'sales', 'purchases', 'business system', 'operational expenses', 'coordinate', 'financing', 'finance', 'accounting corporate', 'bahasa', 'english business', 'reading', 'audit reports', 'communication', 'health clinics', 'infrastructure', 'business solutions', 'r']"
182,Site Surveyor,"['field survey', 'problem solve', 'computer science', 'architectural design', 'read', 'drawings architectural', 'survey', 'instruments', 'supervise', 'staking', 'project manager', 'manager requirements', 'machinery', 'communication', 'analytical', 'english', 'communicate', 'construction', 'textile', 'm', 'floor', 'subsidies', 'installation', 'decoration', 'engineering fire engineering', 'restructuring', 'financing']"
183,Network Monitoring,"['network monitoring', 'network routing', 'lan', 'mpls', 'troubleshooting', 'switch', 'alarm system']"
186,PPIC,"['paper print', 'microsoft excel', 'brand', 'booking', 'file', 'accounting', 'memo', 'finance', 'textile']"
189,Accounting Staff,"['tax accounting', 'financial analysis', 'cost accounting', 'economics', 'finance', 'accountancy', 'banking', 'teamwork', 'english', 'bahasa']"
191,Compliance - Risk Management (Major in Statistics): Supervisor - Assistant Manager – Manager,"['risk management', 'statistical method', 'mathematical analysis', 'risk analysis', 'financial datum', 'risk governance', 'business partner', 'gap analysis', 'law enforcement', 'apply mathematic', 'financial accounting', 'accounting management', 'management accounting', 'internal control', 'trend analysis', 'reach', 'case', 'manager', 'supervise', 'integrated', 'governance risk compliance', 'structured working', 'applying statistical', 'analytical', 'designed programs', 'programs execute', 'statistical mathematical', 'risk indicators', 'statistical models', 'models related', 'risk profile', 'collecting', 'supervising', 'business plan', 'presentation', 'management', 'education program', 'suspicious activities', 'government', 'operation', 'punctual', 'anti money', 'financing', 'automate', 'execute', 'reliability', 'analysis programs', 'validate', 'suspicious report', 'investigation', 'cooperation', 'customer data', 'plan', 'design inform', 'statistic', 'anti', 'r', 'english', 'patience']"
192,Customer Relationship Management Executive,"['customer service', 'problem solve', 'microsoft office', 'crm', 'bridge', 'comment', 'social medias', 'vouchers', 'edit', 'verbal communication', 'bahasa', 'negotiating', 'basic microsoft']"
193,IT Support Staff,"['microsoft office', 'lan', 'linux', 'troubleshooting']"
